unix,date,symbol,open,high,low,close,Volume CORN,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1675296000000,2023-02-02 00:00:00,CORN/USDT,9.05,9.05,8.16,8.16,583.22761064,64.545686,562.36702358,62.141423,7,9.037236837228896662
1675209600000,2023-02-01 00:00:00,CORN/USDT,9.42,9.42,9.42,9.42,2.0633097,0.219035,2.0633097,0.219035,1,9.42
1675123200000,2023-01-31 00:00:00,CORN/USDT,9.48,9.48,9.05,9.05,10.68132188,1.175221,1.00469988,0.105981,2,9.090446393550682886
1675036800000,2023-01-30 00:00:00,CORN/USDT,8.16,8.16,8.16,8.16,21.90811488,2.684818,0,0,3,8.16
1674950400000,2023-01-29 00:00:00,CORN/USDT,8.17,8.17,8.16,8.16,13.31922352,1.631547,0,0,2,8.163557714901987019
1674864000000,2023-01-28 00:00:00,CORN/USDT,10.37,10.37,10.37,10.37,0,0,0,0,0,10.37
1674777600000,2023-01-27 00:00:00,CORN/USDT,10.37,10.37,10.37,10.37,1.12339247,0.108331,1.12339247,0.108331,1,10.37
1674691200000,2023-01-26 00:00:00,CORN/USDT,10.88,10.88,10.88,10.88,0,0,0,0,0,10.841124855350556311
1674604800000,2023-01-25 00:00:00,CORN/USDT,10.88,10.88,10.88,10.88,0,0,0,0,0,10.841124855350556311
1674518400000,2023-01-24 00:00:00,CORN/USDT,9.73,10.88,9.1,10.88,97.80888809,9.027171,97.80888809,9.027171,4,10.841124855350556311
1674432000000,2023-01-23 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,0,0,0,0,0,9.726683345180319024
1674345600000,2023-01-22 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,0,0,0,0,0,9.726683345180319024
1674259200000,2023-01-21 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,0,0,0,0,0,9.726683345180319024
1674172800000,2023-01-20 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,0,0,0,0,0,9.726683345180319024
1674086400000,2023-01-19 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,0,0,0,0,0,9.726683345180319024
1674000000000,2023-01-18 00:00:00,CORN/USDT,9.53,10.99,9.53,9.73,83.66323657,8.618731,78.91712744,8.13095,6,9.726683345180319024
1673913600000,2023-01-17 00:00:00,CORN/USDT,9.53,9.53,9.53,9.53,1.00999893,0.105981,1.00999893,0.105981,1,9.53
1673827200000,2023-01-16 00:00:00,CORN/USDT,9.1,10.88,8.67,8.67,223.26424618,25.614429,218.61066424,25.131191,6,8.720328995908018253
1673740800000,2023-01-15 00:00:00,CORN/USDT,10.23,10.23,7.07,8.29,18.83108078,2.33875,6.82342673,0.793849,5,8.164637494789611326
1673654400000,2023-01-14 00:00:00,CORN/USDT,7.99,8.07,7.99,8.07,5.55747946,0.693622,5.55747946,0.693622,2,8.012419915088629045
1673568000000,2023-01-13 00:00:00,CORN/USDT,7.07,7.07,7.07,7.07,0,0,0,0,0,7.07
